,type,boundary_center_x,boundary_center_y,height,width
0,NILM-intermediate& Superficial,41810.5,36938.0,298,335
1,NILM-intermediate& Superficial,39595.5,37124.0,264,291
2,NILM-intermediate& Superficial,38896.5,37464.5,315,329
3,NILM-intermediate& Superficial,38052.0,38266.5,389,190
4,NILM-intermediate& Superficial,38082.5,39520.5,257,365
5,NILM-intermediate& Superficial,38979.0,40495.5,365,332
6,NILM-intermediate& Superficial,42719.5,39741.0,284,399
7,NILM-intermediate& Superficial,43663.5,37381.5,487,447
8,NILM-intermediate& Superficial,37999.5,37122.5,355,287
9,NILM-intermediate& Superficial,38177.0,41448.5,565,480
10,NILM-intermediate& Superficial,39091.0,42047.5,321,312
11,NILM-intermediate& Superficial,39982.0,41638.0,302,298
12,NILM-intermediate& Superficial,42565.5,42101.5,349,341
13,NILM-intermediate& Superficial,41452.0,42352.0,200,132
14,NILM-intermediate& Superficial,41242.0,40159.0,254,268
15,NILM-intermediate& Superficial,41238.5,39505.5,233,199
16,NILM-intermediate& Superficial,42623.0,39290.5,237,172
17,NILM-intermediate& Superficial,45234.0,40355.0,220,298
18,NILM-intermediate& Superficial,44559.5,41777.0,220,281
19,NILM-intermediate& Superficial,39761.5,43102.0,312,183
20,NILM-intermediate& Superficial,38422.5,43244.0,298,403
21,NILM-intermediate& Superficial,39280.5,43633.5,311,231
22,NILM-intermediate& Superficial,38226.5,43743.0,220,247
23,NILM-intermediate& Superficial,38905.0,43755.0,244,230
24,NILM-intermediate& Superficial,38529.0,41913.5,237,312
25,NILM-intermediate& Superficial,37370.0,39522.5,335,214
26,NILM-intermediate& Superficial,37138.5,39116.5,349,589
27,NILM-intermediate& Superficial,44312.0,43229.0,362,478
28,NILM-intermediate& Superficial,44069.5,39678.0,294,413
29,NILM-intermediate& Superficial,32225.5,41448.5,615,469
30,NILM-intermediate& Superficial,26795.5,39133.5,449,413
31,NILM-intermediate& Superficial,26813.0,40965.0,242,278
32,NILM-intermediate& Superficial,28028.0,44729.5,565,650
33,NILM-intermediate& Superficial,27274.0,38200.5,257,484
34,NILM-intermediate& Superficial,26019.0,38430.0,292,484
35,NILM-intermediate& Superficial,28244.5,38977.0,246,307
36,NILM-intermediate& Superficial,28173.5,39423.0,272,317
37,NILM-intermediate& Superficial,28252.0,40118.5,443,312
38,NILM-intermediate& Superficial,25908.5,44076.5,519,393
39,NILM-intermediate& Superficial,23784.5,44117.5,237,307
40,NILM-intermediate& Superficial,22582.5,44500.5,217,273
41,NILM-intermediate& Superficial,28889.0,45198.0,252,378
42,NILM-intermediate& Superficial,34205.5,43827.5,231,277
43,NILM-intermediate& Superficial,30731.0,43794.5,529,514
44,NILM-intermediate& Superficial,23316.0,42081.5,307,338
45,NILM-intermediate& Superficial,24059.5,42489.5,347,393
46,NILM-intermediate& Superficial,24553.0,46516.0,338,504
47,NILM-intermediate& Superficial,25251.0,52120.0,312,272
48,NILM-intermediate& Superficial,26914.0,53783.0,252,332
49,NILM-intermediate& Superficial,30640.5,52986.5,293,267
50,NILM-intermediate& Superficial,30323.0,51704.0,268,378
51,NILM-intermediate& Superficial,32754.5,52107.0,358,443
52,NILM-intermediate& Superficial,32628.5,52593.5,343,393
53,NILM-intermediate& Superficial,27505.5,55899.5,403,529
54,NILM-intermediate& Superficial,26190.5,56680.5,545,469
55,NILM-intermediate& Superficial,32263.0,55367.5,489,650
56,NILM-intermediate& Superficial,34231.0,53621.5,211,252
57,NILM-intermediate& Superficial,34871.0,54060.0,182,362
58,NILM-intermediate& Superficial,35841.0,56784.0,176,278
59,NILM-intermediate& Superficial,35674.5,58152.0,202,297
60,NILM-intermediate& Superficial,36640.0,58454.0,232,252
61,NILM-intermediate& Superficial,33803.0,59263.0,302,252
62,NILM-intermediate& Superficial,35234.0,60104.0,232,342
63,NILM-intermediate& Superficial,35385.5,59736.5,211,353
64,NILM-intermediate& Superficial,29323.0,57123.5,227,322
65,NILM-intermediate& Superficial,28153.5,57219.5,247,413
66,NILM-intermediate& Superficial,32064.5,61359.5,363,363
67,NILM-intermediate& Superficial,33830.5,63057.5,333,257
68,NILM-intermediate& Superficial,37436.0,61487.5,327,312
69,NILM-intermediate& Superficial,37093.5,64513.5,383,493
70,NILM-intermediate& Superficial,35791.5,66760.0,312,257
71,NILM-intermediate& Superficial,28563.0,67218.5,181,212
72,NILM-intermediate& Superficial,27520.0,64890.0,172,272
73,NILM-intermediate& Superficial,22342.5,74310.5,627,673
74,NILM-intermediate& Superficial,20661.5,73329.5,211,269
75,NILM-intermediate& Superficial,18667.0,73039.0,256,202
76,NILM-intermediate& Superficial,17700.5,69181.0,240,301
77,NILM-intermediate& Superficial,16886.5,65006.0,256,343
78,NILM-intermediate& Superficial,21413.5,65578.0,318,285
79,NILM-intermediate& Superficial,20620.5,62534.0,276,169
80,NILM-intermediate& Superficial,18799.0,58327.5,313,244
81,NILM-intermediate& Superficial,11786.0,58629.0,232,194
82,NILM-intermediate& Superficial,11801.0,58055.0,280,248
83,NILM-intermediate& Superficial,18382.0,58189.0,326,342
84,NILM-intermediate& Superficial,14938.0,32708.5,509,408
85,NILM-intermediate& Superficial,17012.0,21018.5,203,182
86,NILM-intermediate& Superficial,14664.5,21257.0,188,115
87,NILM-intermediate& Superficial,15956.5,21646.0,286,233
