,type,boundary_center_x,boundary_center_y,height,width
0,ASC-H,34831.0,30075.5,405,666
1,ASC-H,37063.0,30193.5,287,350
2,ASC-H,50190.0,36778.5,253,270
3,ASCUS,51081.5,37452.0,420,603
4,ASCUS,51996.0,38622.5,199,238
5,ASCUS,52699.5,42482.0,278,331
6,ASC-H,51277.5,44136.0,372,363
7,ASC-H,50847.0,44240.0,178,170
8,ASCUS,49412.0,42829.5,311,206
9,LSIL,46632.0,45520.0,176,262
10,LSIL,44040.5,49168.0,256,339
11,ASCUS,45887.5,49961.0,262,279
12,ASCUS,46384.0,50031.0,330,396
13,ASCUS,46041.0,50641.5,323,284
14,ASCUS,45312.5,53322.5,309,421
15,ASCUS,43985.5,55590.5,493,533
16,ASC-H,41983.5,58248.0,172,245
17,ASC-H,49072.0,62304.0,280,328
18,ASC-H,49445.5,64044.0,200,193
19,ASCUS,52618.0,63919.5,297,310
20,ASC-H,56643.5,65392.0,478,477
21,ASC-H,55141.0,77987.0,330,328
22,LSIL,46806.5,80563.5,433,349
23,ASC-H,45875.0,78393.5,319,292
24,ASC-H,41541.5,79258.5,577,723
25,ASCUS,40338.5,80091.5,211,317
26,ASCUS,54214.5,77457.5,181,295
27,ASCUS,53743.5,76873.5,255,247
28,ASC-H,52992.5,77596.0,210,175
29,ASCUS,57652.5,77529.0,330,295
30,ASCUS,57075.0,71090.5,193,550
31,ASCUS,46209.5,73410.5,381,323
32,LSIL,42145.0,72250.5,271,328
33,ASCUS,43410.0,72643.0,208,238
34,ASCUS,15423.0,42913.0,146,214
35,ASCUS,13265.0,48751.0,574,354
36,ASCUS,13194.0,48194.0,338,586
37,ASC-H,12718.5,52145.0,404,513
38,LSIL,17714.0,67935.5,583,532
39,ASC-H,28550.5,72076.0,192,195
40,LSIL,30572.5,72260.0,124,219
41,ASC-H,38712.0,79551.5,195,136
