,type,boundary_center_x,boundary_center_y,height,width
0,NILM-intermediate& Superficial,34653.0,30674.5,249,176
1,NILM-intermediate& Superficial,35163.0,30702.0,276,314
2,NILM-intermediate& Superficial,34733.5,31338.5,191,273
3,NILM-intermediate& Superficial,35720.5,31420.5,213,285
4,NILM-intermediate& Superficial,32954.5,31267.5,175,213
5,NILM-intermediate& Superficial,34411.0,32549.0,302,232
6,NILM-intermediate& Superficial,33799.5,32863.0,274,241
7,NILM-intermediate& Superficial,33363.5,33104.0,342,271
8,NILM-intermediate& Superficial,32390.5,32150.5,277,287
9,NILM-intermediate& Superficial,32368.5,31496.5,401,445
10,NILM-intermediate& Superficial,32246.0,31027.5,283,228
11,NILM-intermediate& Superficial,31837.5,32031.0,516,465
12,NILM-intermediate& Superficial,32270.5,32819.5,339,383
13,NILM-intermediate& Superficial,34217.5,33759.0,732,665
14,NILM-intermediate& Superficial,34270.0,35280.5,281,354
15,NILM-intermediate& Superficial,37799.5,35353.0,330,325
16,NILM-intermediate& Superficial,36542.5,37450.5,559,1153
17,NILM-intermediate& Superficial,37838.5,38044.0,650,487
18,NILM-intermediate& Superficial,36783.0,39313.0,262,308
19,NILM-intermediate& Superficial,36459.0,39369.5,255,308
20,NILM-intermediate& Superficial,38823.5,38857.5,511,477
21,NILM-intermediate& Superficial,37981.5,42975.5,441,425
22,NILM-intermediate& Superficial,37448.5,42232.5,311,299
23,NILM-intermediate& Superficial,37195.5,42514.0,212,295
24,NILM-intermediate& Superficial,39343.5,44713.5,263,315
25,NILM-intermediate& Superficial,39647.0,45491.0,632,518
26,NILM-intermediate& Superficial,41151.0,45400.5,437,516
27,NILM-intermediate& Superficial,41693.5,44752.0,328,299
28,NILM-intermediate& Superficial,43487.5,44363.0,304,363
29,NILM-intermediate& Superficial,44174.0,44105.0,306,330
30,NILM-intermediate& Superficial,46719.5,46398.5,589,411
31,NILM-intermediate& Superficial,47800.5,44471.5,245,257
32,NILM-intermediate& Superficial,45042.0,47203.5,259,242
33,NILM-intermediate& Superficial,42430.0,47282.5,249,284
34,NILM-intermediate& Superficial,43020.0,48084.0,348,288
35,NILM-intermediate& Superficial,43350.0,48216.0,248,218
36,NILM-intermediate& Superficial,42227.5,49149.5,273,193
37,NILM-intermediate& Superficial,49516.5,33085.5,325,397
38,NILM-intermediate& Superficial,53715.5,33335.5,341,295
39,NILM-intermediate& Superficial,53720.5,32769.0,354,331
40,NILM-intermediate& Superficial,45755.5,32416.5,251,311
41,NILM-intermediate& Superficial,46732.0,32847.0,292,304
42,NILM-intermediate& Superficial,49003.0,35880.5,255,298
43,NILM-intermediate& Superficial,45265.5,34342.0,546,503
44,NILM-intermediate& Superficial,49021.5,35063.0,354,341
45,NILM-intermediate& Superficial,50335.5,37650.0,278,321
46,NILM-intermediate& Superficial,50544.0,36594.5,325,328
47,NILM-intermediate& Superficial,51999.0,37894.0,288,272
48,NILM-intermediate& Superficial,47099.5,38076.0,288,317
49,NILM-intermediate& Superficial,49375.5,40189.5,271,335
50,NILM-intermediate& Superficial,50697.0,42372.0,268,288
51,NILM-intermediate& Superficial,51217.0,42032.5,219,334
52,NILM-intermediate& Superficial,52922.0,44197.5,265,228
53,NILM-intermediate& Superficial,53361.0,44252.0,348,344
54,NILM-intermediate& Superficial,53862.0,44066.5,255,354
55,NILM-intermediate& Superficial,55145.0,45405.5,245,424
56,NILM-intermediate& Superficial,52238.5,46776.0,278,265
57,NILM-intermediate& Superficial,52687.0,47140.0,278,328
58,NILM-intermediate& Superficial,56807.0,43714.5,245,238
59,NILM-intermediate& Superficial,57788.5,43742.5,195,249
60,NILM-intermediate& Superficial,53348.5,51264.5,341,291
61,NILM-intermediate& Superficial,53931.0,50063.0,268,278
62,NILM-intermediate& Superficial,54191.0,50346.0,238,268
63,NILM-intermediate& Superficial,55281.5,48750.5,285,245
64,NILM-intermediate& Superficial,58143.5,51501.5,265,275
65,NILM-intermediate& Superficial,53422.5,52981.0,292,341
66,NILM-intermediate& Superficial,49454.0,58140.0,266,304
