,type,boundary_center_x,boundary_center_y,height,width
0,ASC-H,35163.5,38973.5,225,179
1,ASC-H,34045.0,37297.0,138,164
2,ASC-H,38550.0,37095.5,135,256
3,ASC-H,40617.0,36221.0,246,228
4,NILM-glands,41453.0,35387.5,225,144
5,ASC-H,42534.5,35901.5,125,207
6,NILM-intermediate& Superficial,42099.0,36682.5,299,248
7,NILM-intermediate& Superficial,41953.5,36981.0,238,213
8,NILM-intermediate& Superficial,41264.0,37011.5,279,294
9,NILM-intermediate& Superficial,43553.5,36651.0,306,301
10,NILM-intermediate& Superficial,42971.5,36240.0,234,223
11,NILM-Parabasal,42336.5,36314.5,139,99
12,ASC-H,44122.5,36315.0,180,123
13,NILM-intermediate& Superficial,43991.0,37219.5,319,234
14,NILM-intermediate& Superficial,44723.0,37220.0,238,320
15,NILM-intermediate& Superficial,44851.0,37588.0,330,318
16,NILM-intermediate& Superficial,43490.5,38074.0,458,351
17,NILM-intermediate& Superficial,44320.5,38327.5,309,327
18,NILM-intermediate& Superficial,43618.0,38560.0,172,282
19,NILM-intermediate& Superficial,44417.0,38672.5,203,206
20,NILM-intermediate& Superficial,43247.0,39397.0,358,264
21,NILM-intermediate& Superficial,43450.0,39792.5,233,288
22,NILM-intermediate& Superficial,44305.0,39508.5,285,230
23,NILM-intermediate& Superficial,41959.5,39441.0,324,369
24,NILM-intermediate& Superficial,44615.0,40526.5,401,176
25,ASC-H,42655.5,40081.0,104,233
26,NILM-glands,42441.5,40019.0,108,129
27,ASCUS,43164.5,40508.0,232,171
28,NILM-intermediate& Superficial,46899.0,39228.5,545,450
29,NILM-intermediate& Superficial,48305.0,40127.0,334,346
30,NILM-intermediate& Superficial,49045.5,39421.5,303,249
31,NILM-intermediate& Superficial,46615.5,39829.0,276,385
32,NILM-intermediate& Superficial,45409.5,39329.0,210,229
33,NILM-intermediate& Superficial,47977.0,41346.0,256,214
34,NILM-intermediate& Superficial,49264.5,41240.5,247,249
35,NILM-intermediate& Superficial,49202.5,41952.0,284,309
36,NILM-intermediate& Superficial,49998.5,42151.5,529,435
37,NILM-intermediate& Superficial,48371.5,42082.5,505,427
38,NILM-intermediate& Superficial,47548.0,44855.5,263,286
39,ASCUS,49351.0,45437.5,107,190
40,ASCUS,50277.5,46269.5,209,149
41,ASC-H,48835.0,48474.0,200,188
42,NILM-intermediate& Superficial,54564.5,56427.5,393,379
43,NILM-intermediate& Superficial,53486.0,55982.0,276,318
44,NILM-intermediate& Superficial,53867.5,56958.5,315,371
45,NILM-intermediate& Superficial,54598.0,56908.0,302,272
46,NILM-intermediate& Superficial,54087.0,57364.0,370,250
47,NILM-intermediate& Superficial,53733.0,58001.0,372,272
48,NILM-intermediate& Superficial,52756.0,58217.5,329,228
49,NILM-intermediate& Superficial,56126.0,56217.5,313,252
50,NILM-intermediate& Superficial,56093.5,58103.0,252,283
51,NILM-intermediate& Superficial,54274.5,60229.0,354,381
52,ASC-H,54946.5,60556.5,155,107
53,ASC-H,56623.0,62933.5,291,358
54,NILM-glands,63704.0,66118.5,241,240
55,NILM-glands,63178.0,67009.5,139,258
56,NILM-Inflammatory cells,64168.0,67289.0,136,152
57,NILM-Inflammatory cells,63569.0,67306.5,77,152
58,NILM-intermediate& Superficial,63630.0,67805.5,225,328
59,NILM-intermediate& Superficial,63512.0,68067.5,253,198
60,NILM-intermediate& Superficial,64173.5,68201.0,210,297
61,NILM-intermediate& Superficial,64841.0,67246.5,293,160
62,NILM-intermediate& Superficial,63285.5,68417.5,223,219
63,NILM-intermediate& Superficial,64000.5,68744.0,272,201
64,NILM-intermediate& Superficial,64347.5,68671.5,175,279
65,NILM-intermediate& Superficial,62354.5,68923.0,168,159
66,NILM-intermediate& Superficial,62179.5,69257.5,287,211
67,NILM-intermediate& Superficial,62930.5,69448.5,223,269
68,NILM-intermediate& Superficial,63248.0,69728.0,230,270
69,NILM-intermediate& Superficial,63244.0,70227.5,259,246
70,NILM-intermediate& Superficial,62050.0,70194.0,228,256
71,ASCUS,62688.5,69867.0,208,285
72,ASCUS,65992.0,69355.0,210,180
73,NILM-Parabasal,65166.5,69318.0,176,285
74,NILM-Parabasal,66645.0,69123.0,92,132
75,NILM-intermediate& Superficial,68562.0,69745.0,200,260
76,NILM-intermediate& Superficial,69240.0,69319.5,255,362
77,NILM-intermediate& Superficial,67473.0,69359.5,295,252
78,NILM-intermediate& Superficial,67777.0,69467.0,266,240
79,NILM-intermediate& Superficial,67941.0,69166.5,225,192
80,NILM-intermediate& Superficial,68874.0,68741.0,334,298
81,NILM-intermediate& Superficial,67581.5,68506.0,284,309
82,NILM-intermediate& Superficial,69272.5,68432.0,336,349
83,NILM-intermediate& Superficial,68272.5,68679.0,294,323
84,ASCUS,67468.5,68969.0,176,229
85,NILM-intermediate& Superficial,68030.0,67215.5,317,296
86,NILM-intermediate& Superficial,69296.0,67751.0,280,304
87,NILM-intermediate& Superficial,68650.0,67697.5,265,236
88,NILM-intermediate& Superficial,69897.5,67377.5,271,239
89,NILM-intermediate& Superficial,70421.5,67426.5,397,349
90,NILM-intermediate& Superficial,70894.5,67750.0,274,223
91,ASC-H,69946.5,68320.5,225,255
92,NILM-intermediate& Superficial,72424.0,65291.0,350,294
93,NILM-intermediate& Superficial,74354.5,63736.0,456,467
94,NILM-intermediate& Superficial,71902.5,62932.0,292,345
95,NILM-intermediate& Superficial,69393.5,63128.0,298,289
96,NILM-intermediate& Superficial,69793.0,63174.5,311,334
97,NILM-glands,69829.0,59718.5,211,226
98,ASC-H,68274.5,56158.5,231,255
99,NILM-Inflammatory cells,68765.5,55911.0,182,115
100,NILM-Inflammatory cells,69607.5,56322.5,149,169
101,NILM-Inflammatory cells,69812.5,56773.5,111,145
102,ASCUS,69627.0,56705.5,115,126
103,ASCUS,68175.0,55212.5,123,132
104,NILM-Inflammatory cells,67177.5,55757.5,125,181
105,NILM-intermediate& Superficial,71502.0,50143.0,272,394
106,NILM-intermediate& Superficial,71810.0,50541.0,298,270
107,NILM-intermediate& Superficial,71095.5,50743.5,267,281
108,NILM-intermediate& Superficial,70325.5,51254.5,255,337
109,NILM-intermediate& Superficial,71520.5,49301.0,296,287
110,NILM-intermediate& Superficial,72363.0,49448.5,269,402
111,ASC-H,61682.0,37753.5,191,214
112,ASC-H,50320.0,33351.5,139,116
113,NILM-Inflammatory cells,50908.5,32696.0,270,843
114,NILM-Inflammatory cells,51116.5,33393.5,177,123
115,NILM-Inflammatory cells,50676.0,33706.0,130,146
116,ASCUS,47936.0,35635.0,368,218
117,ASC-H,32884.5,26586.5,257,223
118,ASC-H,33112.5,26940.5,119,71
119,ASC-H,31736.5,27377.0,104,99
120,ASC-H,23952.0,22135.0,264,152
121,ASC-H,22841.0,22446.5,331,214
122,ASC-H,22661.5,23408.5,115,155
123,NILM-glands,22504.0,24130.0,212,200
124,ASC-H,22859.5,25330.5,171,115
125,NILM-glands,23133.0,39730.5,139,116
126,NILM-glands,23315.5,40086.5,543,531
127,ASC-H,28276.5,45841.5,365,247
128,NILM-Inflammatory cells,28077.0,46237.0,74,204
129,ASCUS,29809.0,47944.0,196,286
130,ASCUS,29581.5,50936.5,275,245
131,ASC-H,35880.0,64144.5,323,422
132,NILM-glands,37317.5,64799.5,223,161
133,ASC-H,43749.5,78030.0,234,419
134,ASCUS,41894.0,79487.5,131,150
135,ASC-H,40554.5,79505.0,160,201
136,ASC-H,39640.5,80092.5,167,145
137,NILM-glands,52965.5,77382.0,158,235
138,NILM-glands,52347.0,76619.5,163,128
139,NILM-glands,59784.5,71534.5,233,175
140,NILM-glands,49259.0,62026.5,223,222
141,NILM-Parabasal,49163.0,55780.0,140,172
142,ASCUS,46926.0,56100.0,134,148
143,NILM-Inflammatory cells,47119.5,56523.0,182,281
144,NILM-Inflammatory cells,45474.0,55835.0,292,168
145,NILM-Inflammatory cells,41684.5,58581.0,224,159
146,NILM-intermediate& Superficial,40016.0,59742.0,350,330
