,type,boundary_center_x,boundary_center_y,height,width
0,NILM-Inflammatory cells,45431.0,50517.0,124,88
1,NILM-Inflammatory cells,45826.5,50520.0,164,135
2,NILM-Inflammatory cells,45630.0,48059.5,89,104
3,NILM-Inflammatory cells,41566.0,49537.5,195,612
4,NILM-Inflammatory cells,40099.0,50766.0,148,164
5,NILM-Inflammatory cells,38637.0,51019.5,101,204
6,NILM-Inflammatory cells,38723.5,51772.5,89,137
7,NILM-Inflammatory cells,39320.5,52212.5,201,135
8,NILM-Inflammatory cells,37178.0,54203.0,134,180
9,NILM-glands,35659.5,54569.5,137,163
10,NILM-Inflammatory cells,34781.5,56984.0,102,155
11,NILM-Inflammatory cells,34465.0,57634.0,146,124
12,NILM-Inflammatory cells,33235.5,58141.0,182,155
13,NILM-Inflammatory cells,35328.0,59426.0,284,130
14,NILM-Inflammatory cells,35965.0,59600.0,242,182
15,NILM-Inflammatory cells,36680.5,58939.0,208,181
16,NILM-Inflammatory cells,32965.0,59359.5,157,164
17,NILM-Inflammatory cells,32721.0,59581.0,512,212
18,NILM-Inflammatory cells,31639.5,59243.5,129,133
19,NILM-Inflammatory cells,32004.0,58695.0,188,140
20,NILM-Inflammatory cells,31699.5,58804.5,181,115
21,NILM-Inflammatory cells,26433.5,58029.0,100,109
22,NILM-Inflammatory cells,27000.5,59191.0,160,153
23,NILM-Inflammatory cells,19928.0,63575.5,159,166
24,NILM-Inflammatory cells,20918.0,63833.5,295,100
25,NILM-Inflammatory cells,15447.5,61899.5,197,217
26,NILM-Inflammatory cells,15250.0,63346.0,188,178
27,NILM-Inflammatory cells,14175.5,61534.0,206,421
28,NILM-Inflammatory cells,13916.5,62678.5,151,243
29,NILM-Inflammatory cells,11969.0,63874.0,220,232
30,NILM-Inflammatory cells,11920.0,65773.5,215,240
31,NILM-Inflammatory cells,10254.0,61992.5,163,280
32,NILM-Inflammatory cells,9410.0,62455.0,252,198
33,NILM-Inflammatory cells,6374.5,55626.5,167,329
34,NILM-Inflammatory cells,8717.5,54698.0,262,443
35,NILM-Inflammatory cells,10857.5,55258.5,143,291
36,NILM-Inflammatory cells,6401.0,51534.5,175,206
37,NILM-Inflammatory cells,5996.0,48605.0,152,410
38,NILM-Inflammatory cells,11226.5,41011.5,169,175
39,NILM-Inflammatory cells,12674.5,41411.0,184,167
40,NILM-Inflammatory cells,11858.5,41128.5,193,149
41,NILM-Inflammatory cells,10607.0,39358.0,242,178
42,NILM-Inflammatory cells,11286.5,35763.0,320,323
43,NILM-Inflammatory cells,11508.0,36518.0,166,316
44,NILM-Inflammatory cells,8887.5,34180.5,163,387
45,NILM-Inflammatory cells,7329.5,34613.0,284,407
46,NILM-Inflammatory cells,8490.0,31465.0,300,350
47,NILM-Inflammatory cells,7367.0,31178.0,246,358
48,NILM-Inflammatory cells,9004.0,29990.0,220,358
49,NILM-Inflammatory cells,9215.0,29050.0,192,242
50,NILM-Inflammatory cells,9867.0,28300.5,177,118
51,NILM-Inflammatory cells,6347.0,27906.0,122,164
52,NILM-Inflammatory cells,13675.5,27171.0,260,565
53,NILM-Inflammatory cells,13927.0,26707.5,507,178
54,NILM-Inflammatory cells,15350.5,31813.0,258,469
55,NILM-Inflammatory cells,14214.0,33281.0,418,518
56,NILM-Inflammatory cells,16598.0,31234.5,267,300
57,NILM-Inflammatory cells,18360.5,31206.5,443,249
58,NILM-Inflammatory cells,18575.5,32064.0,272,403
59,NILM-intermediate& Superficial,26225.5,26644.0,234,275
60,NILM-intermediate& Superficial,23904.0,26340.5,263,338
61,NILM-intermediate& Superficial,23026.0,26169.5,329,416
62,NILM-intermediate& Superficial,23135.0,27595.0,356,260
63,NILM-intermediate& Superficial,23674.5,27962.0,312,315
64,NILM-intermediate& Superficial,24076.0,28959.0,340,238
65,NILM-intermediate& Superficial,25324.5,27354.5,369,311
66,NILM-intermediate& Superficial,27776.0,26959.0,342,316
67,NILM-intermediate& Superficial,22690.0,25837.5,285,278
