,type,boundary_center_x,boundary_center_y,height,width
0,NILM-Parabasal,45924.5,47009.0,160,129
1,NILM-Parabasal,44455.5,46738.5,87,137
2,NILM-Parabasal,45873.5,46526.5,119,173
3,NILM-Parabasal,45442.5,46208.0,138,147
4,NILM-Parabasal,44456.5,47433.0,106,157
5,NILM-Parabasal,46503.0,47147.0,144,90
6,NILM-Parabasal,46809.5,47703.5,117,119
7,NILM-Parabasal,45099.5,47882.5,107,93
8,NILM-Parabasal,45472.5,46524.5,133,145
9,NILM-Parabasal,48094.0,45625.5,167,146
10,NILM-Parabasal,47765.0,47545.5,91,110
11,NILM-Parabasal,46925.0,46863.0,112,116
12,NILM-Parabasal,44510.5,46965.0,226,297
13,NILM-Parabasal,43319.5,46740.5,103,137
14,NILM-Parabasal,42580.0,46416.0,164,152
15,NILM-Parabasal,43491.5,45482.5,227,261
16,NILM-Parabasal,43990.5,45965.5,251,189
17,NILM-Parabasal,36590.5,45046.5,131,169
18,NILM-Parabasal,36095.5,43898.5,165,111
19,NILM-Parabasal,35999.5,43285.5,163,237
20,NILM-Parabasal,35275.5,42927.5,167,147
21,NILM-Parabasal,37719.0,42408.0,142,164
22,NILM-Parabasal,38165.5,43383.0,214,217
23,NILM-Parabasal,38592.0,36061.0,94,110
24,NILM-Parabasal,39184.0,36094.5,119,138
25,NILM-Parabasal,39406.5,36438.5,101,121
26,NILM-Parabasal,39296.5,35567.0,120,117
27,NILM-Parabasal,39321.5,37187.5,73,111
28,NILM-Parabasal,37901.5,31307.5,155,325
29,NILM-Parabasal,38306.0,31821.5,135,162
30,NILM-Parabasal,39237.0,31993.0,96,142
31,NILM-Parabasal,39012.5,31617.0,170,179
32,NILM-Parabasal,39583.0,31708.5,133,106
33,NILM-Parabasal,38388.5,33375.5,131,123
34,NILM-Parabasal,38345.5,24126.5,135,141
35,NILM-Parabasal,38981.0,23459.0,146,198
36,NILM-Parabasal,39521.0,24302.5,151,110
37,NILM-Parabasal,40089.5,23942.0,98,157
38,NILM-Parabasal,40402.0,24788.0,178,110
39,NILM-Parabasal,40351.5,25097.5,117,199
40,NILM-Parabasal,39129.0,25009.0,164,220
41,NILM-Parabasal,38621.0,24121.5,243,328
42,NILM-Parabasal,38831.5,18931.5,149,181
43,NILM-Parabasal,39977.0,18586.0,134,138
44,NILM-Parabasal,40568.0,19149.5,153,198
45,NILM-Parabasal,39630.0,20222.5,129,140
46,NILM-Parabasal,38733.0,19709.0,160,180
47,NILM-Parabasal,47718.5,11967.5,133,109
48,NILM-Parabasal,47258.5,11992.5,123,149
49,NILM-Parabasal,47538.5,11545.0,214,257
50,NILM-Parabasal,47131.5,11463.0,130,141
51,NILM-Parabasal,46600.0,12367.5,145,150
52,NILM-Parabasal,46607.5,12713.0,116,83
53,NILM-Parabasal,48393.0,11512.0,114,96
54,NILM-Parabasal,48512.5,11766.0,122,129
55,NILM-Parabasal,48909.5,3308.0,76,133
56,NILM-Parabasal,49248.5,3398.0,146,197
57,NILM-Parabasal,48821.5,3510.0,120,153
58,NILM-Parabasal,48786.5,4902.0,174,147
