,type,boundary_center_x,boundary_center_y,height,width
0,NILM-Parabasal,48686.5,40137.5,137,171
1,NILM-Parabasal,50787.0,39495.0,142,160
2,NILM-Parabasal,49054.5,39268.5,181,159
3,NILM-Parabasal,47950.0,38709.5,101,100
4,NILM-Parabasal,46712.0,39158.0,118,122
5,NILM-Parabasal,46504.0,39084.0,458,148
6,NILM-Parabasal,47502.0,42231.5,99,128
7,NILM-Parabasal,48888.0,43170.0,180,134
8,NILM-Parabasal,50240.5,42459.5,369,133
9,NILM-Parabasal,49417.5,41215.0,116,121
10,NILM-Parabasal,48709.5,48188.5,191,191
11,NILM-Parabasal,49862.0,48140.5,105,136
12,NILM-Parabasal,50050.0,48549.0,86,86
13,NILM-Parabasal,49170.5,48927.5,169,99
14,NILM-Parabasal,51093.5,47914.5,143,113
15,NILM-Parabasal,50240.0,49557.0,336,394
16,NILM-Parabasal,48707.5,50216.0,90,83
17,NILM-Parabasal,49074.0,50152.0,100,106
18,NILM-Parabasal,49819.5,50977.0,100,113
19,NILM-Parabasal,49492.5,51108.5,83,107
20,NILM-Parabasal,47855.0,50630.5,175,166
21,NILM-Parabasal,49096.5,51357.5,411,327
22,NILM-Parabasal,49161.0,52936.0,96,60
23,NILM-Parabasal,49433.5,52859.0,132,125
24,NILM-Parabasal,49935.5,52650.5,311,415
25,NILM-Parabasal,49880.5,51970.5,135,119
26,NILM-Parabasal,49817.0,53465.5,101,100
27,NILM-Parabasal,48086.0,54149.0,112,112
28,NILM-Parabasal,50157.0,54483.0,138,170
29,NILM-Parabasal,50915.5,55129.0,134,95
30,NILM-Parabasal,51273.5,55474.0,220,343
31,NILM-Parabasal,51612.0,55898.5,141,132
32,NILM-Parabasal,52172.0,56823.5,139,146
33,NILM-Parabasal,50641.5,57550.0,154,151
34,NILM-Parabasal,50664.5,58884.5,99,127
35,NILM-Parabasal,50463.0,59185.0,104,108
36,NILM-Parabasal,51833.0,59581.5,149,224
37,NILM-Parabasal,48361.5,58486.5,429,291
38,NILM-Parabasal,49180.0,57939.5,151,112
39,NILM-Parabasal,48986.0,58206.0,84,108
40,NILM-Parabasal,48734.0,60591.5,363,432
41,NILM-Parabasal,48595.5,61134.5,161,147
42,NILM-Parabasal,49159.5,61123.0,134,117
43,NILM-Parabasal,48358.5,62274.0,200,173
44,NILM-Parabasal,48208.5,62688.5,97,105
45,NILM-Parabasal,46290.5,61148.5,125,371
46,NILM-Parabasal,46347.5,60572.0,168,157
47,NILM-Parabasal,48215.0,61619.0,126,132
48,NILM-Parabasal,47797.0,62926.0,136,82
49,NILM-Inflammatory cells,46555.0,61898.5,183,174
50,NILM-Parabasal,45229.0,62951.0,88,130
51,NILM-Parabasal,45485.5,62869.0,100,95
52,NILM-Parabasal,45286.0,63128.0,120,114
53,NILM-Parabasal,44714.5,62630.5,101,121
54,NILM-Parabasal,44929.0,63519.5,109,92
55,NILM-Parabasal,45697.0,63993.0,132,114
56,NILM-Parabasal,45004.0,62489.5,127,122
57,NILM-Inflammatory cells,44654.5,62284.5,225,409
58,NILM-Inflammatory cells,44674.5,61948.5,87,93
59,NILM-Parabasal,45526.5,62133.0,134,139
60,NILM-Parabasal,43021.0,62229.0,288,450
61,NILM-Parabasal,42814.0,62549.5,159,98
62,NILM-Parabasal,41990.0,63241.0,116,92
63,NILM-Parabasal,42314.0,64203.0,122,96
64,NILM-Inflammatory cells,42685.0,64097.5,417,182
65,NILM-Inflammatory cells,45080.0,63109.5,99,98
66,ASCUS,38925.5,66589.0,522,761
67,ASCUS,38656.0,65929.0,222,180
68,NILM-Parabasal,41744.5,69652.5,283,375
69,NILM-Parabasal,42884.0,69864.0,136,104
70,NILM-Parabasal,42917.5,69218.0,124,175
71,NILM-Parabasal,43484.0,69401.5,123,116
72,NILM-Parabasal,43675.5,70186.0,148,97
73,NILM-Parabasal,42551.5,69602.5,139,159
74,NILM-Parabasal,41076.0,70668.5,129,154
75,NILM-Parabasal,42411.5,71332.0,252,171
76,NILM-Parabasal,40411.0,69991.5,127,118
77,NILM-Parabasal,38608.0,71032.5,99,100
78,NILM-Parabasal,38782.5,71427.0,108,93
79,NILM-Parabasal,39272.0,71567.0,138,136
80,NILM-Parabasal,36922.0,71832.5,635,324
81,NILM-Parabasal,38812.5,69830.0,258,295
82,NILM-Parabasal,28934.0,71833.0,112,150
83,NILM-Parabasal,28319.5,71537.0,158,151
84,NILM-Parabasal,28378.5,72780.0,182,165
85,NILM-Parabasal,26851.5,72387.5,163,211
86,NILM-Parabasal,26356.5,73056.0,212,287
87,NILM-Parabasal,26688.0,71347.0,232,392
88,NILM-Parabasal,27268.0,71243.5,131,164
89,NILM-Parabasal,28118.5,69906.5,151,323
90,NILM-Parabasal,29335.0,69285.0,194,132
91,NILM-Parabasal,29505.5,68227.0,108,143
92,NILM-Parabasal,30164.0,68396.0,130,112
