index,type,boundary_center_x,boundary_center_y,height,width
0,HSIL,36465.5,42906.0,154,187
1,ASC-H,20019.5,52155.5,141,159
2,ASC-H,38182.0,52693.0,84,92
3,ASC-H,39871.5,53208.5,89,97
4,ASC-H,70155.0,53077.5,225,326
5,ASC-H,7493.0,55227.0,114,130
6,ASC-H,17351.5,54444.0,324,281
7,HSIL,7509.0,60618.0,192,196
8,HSIL,7342.5,60907.5,317,361
9,HSIL,8156.0,61324.5,117,148
10,LSIL,8583.0,61214.5,107,196
11,LSIL,11251.5,60032.5,297,209
12,ASC-H,34785.0,77117.0,264,186
13,HSIL,59927.5,77701.5,153,199
14,HSIL,58559.5,79559.5,181,235
15,ASC-H,34695.0,81437.5,111,130
16,ASC-H,36461.0,38916.5,337,514
17,ASC-H,3930.5,33192.5,165,237
18,HSIL,38969.0,32142.0,284,354
19,ASC-H,8280.5,22961.5,97,145
20,ASC-H,27687.5,20672.5,137,345
21,ASC-H,52754.0,19951.5,161,150
22,ASC-H,12616.0,16704.0,140,244
23,ASC-H,32977.0,18086.0,156,174
24,HSIL,60580.5,13095.5,405,307
25,ASC-H,63833.0,12295.0,450,538
26,HSIL,24575.5,8407.5,99,123
27,ASC-H,25884.5,7563.5,83,113
28,ASC-H,30212.5,7586.0,90,109
29,ASC-H,29507.5,8107.0,92,121
30,ASC-H,33610.0,7384.0,78,106
31,ASC-H,41283.0,7201.5,203,172
32,HSIL,40553.0,2457.5,235,334
33,ASC-H,52847.0,2777.5,163,210
