,Unnamed: 0,type,boundary_center_x,boundary_center_y,height,width
0,0,Lesion,35163.5,38973.5,225,179
1,1,Lesion,34045.0,37297.0,138,164
2,2,Lesion,38550.0,37095.5,135,256
3,3,Lesion,40617.0,36221.0,246,228
4,4,NILM,41453.0,35387.5,225,144
5,5,Lesion,42534.5,35901.5,125,207
6,6,NILM,42099.0,36682.5,299,248
7,7,NILM,41953.5,36981.0,238,213
8,8,NILM,41264.0,37011.5,279,294
9,9,NILM,43553.5,36651.0,306,301
10,10,NILM,42971.5,36240.0,234,223
11,11,NILM,42336.5,36314.5,139,99
12,12,Lesion,44122.5,36315.0,180,123
13,13,NILM,43991.0,37219.5,319,234
14,14,NILM,44723.0,37220.0,238,320
15,15,NILM,44851.0,37588.0,330,318
16,16,NILM,43490.5,38074.0,458,351
17,17,NILM,44320.5,38327.5,309,327
18,18,NILM,43618.0,38560.0,172,282
19,19,NILM,44417.0,38672.5,203,206
20,20,NILM,43247.0,39397.0,358,264
21,21,NILM,43450.0,39792.5,233,288
22,22,NILM,44305.0,39508.5,285,230
23,23,NILM,41959.5,39441.0,324,369
24,24,NILM,44615.0,40526.5,401,176
25,25,Lesion,42655.5,40081.0,104,233
26,26,NILM,42441.5,40019.0,108,129
27,27,Lesion,43164.5,40508.0,232,171
28,28,NILM,46899.0,39228.5,545,450
29,29,NILM,48305.0,40127.0,334,346
30,30,NILM,49045.5,39421.5,303,249
31,31,NILM,46615.5,39829.0,276,385
32,32,NILM,45409.5,39329.0,210,229
33,33,NILM,47977.0,41346.0,256,214
34,34,NILM,49264.5,41240.5,247,249
35,35,NILM,49202.5,41952.0,284,309
36,36,NILM,49998.5,42151.5,529,435
37,37,NILM,48371.5,42082.5,505,427
38,38,NILM,47548.0,44855.5,263,286
39,39,Lesion,49351.0,45437.5,107,190
40,40,Lesion,50277.5,46269.5,209,149
41,41,Lesion,48835.0,48474.0,200,188
42,42,NILM,54564.5,56427.5,393,379
43,43,NILM,53486.0,55982.0,276,318
44,44,NILM,53867.5,56958.5,315,371
45,45,NILM,54598.0,56908.0,302,272
46,46,NILM,54087.0,57364.0,370,250
47,47,NILM,53733.0,58001.0,372,272
48,48,NILM,52756.0,58217.5,329,228
49,49,NILM,56126.0,56217.5,313,252
50,50,NILM,56093.5,58103.0,252,283
51,51,NILM,54274.5,60229.0,354,381
52,52,Lesion,54946.5,60556.5,155,107
53,53,Lesion,56623.0,62933.5,291,358
54,54,NILM,63704.0,66118.5,241,240
55,55,NILM,63178.0,67009.5,139,258
56,56,NILM,64168.0,67289.0,136,152
57,57,NILM,63569.0,67306.5,77,152
58,58,NILM,63630.0,67805.5,225,328
59,59,NILM,63512.0,68067.5,253,198
60,60,NILM,64173.5,68201.0,210,297
61,61,NILM,64841.0,67246.5,293,160
62,62,NILM,63285.5,68417.5,223,219
63,63,NILM,64000.5,68744.0,272,201
64,64,NILM,64347.5,68671.5,175,279
65,65,NILM,62354.5,68923.0,168,159
66,66,NILM,62179.5,69257.5,287,211
67,67,NILM,62930.5,69448.5,223,269
68,68,NILM,63248.0,69728.0,230,270
69,69,NILM,63244.0,70227.5,259,246
70,70,NILM,62050.0,70194.0,228,256
71,71,Lesion,62688.5,69867.0,208,285
72,72,Lesion,65992.0,69355.0,210,180
73,73,NILM,65166.5,69318.0,176,285
74,74,NILM,66645.0,69123.0,92,132
75,75,NILM,68562.0,69745.0,200,260
76,76,NILM,69240.0,69319.5,255,362
77,77,NILM,67473.0,69359.5,295,252
