,index,type,boundary_center_x,boundary_center_y,height,width
0,0,Lesion,36465.5,42906.0,154,187
1,1,Lesion,20019.5,52155.5,141,159
2,2,Lesion,38182.0,52693.0,84,92
3,3,Lesion,39871.5,53208.5,89,97
4,4,Lesion,70155.0,53077.5,225,326
5,5,Lesion,7493.0,55227.0,114,130
6,6,Lesion,17351.5,54444.0,324,281
7,7,Lesion,7509.0,60618.0,192,196
8,8,Lesion,7342.5,60907.5,317,361
9,9,Lesion,8156.0,61324.5,117,148
10,10,Lesion,8583.0,61214.5,107,196
11,11,Lesion,11251.5,60032.5,297,209
12,12,Lesion,34785.0,77117.0,264,186
13,13,Lesion,59927.5,77701.5,153,199
14,14,Lesion,58559.5,79559.5,181,235
15,15,Lesion,34695.0,81437.5,111,130
16,16,Lesion,36461.0,38916.5,337,514
17,17,Lesion,3930.5,33192.5,165,237
18,18,Lesion,38969.0,32142.0,284,354
19,19,Lesion,8280.5,22961.5,97,145
20,20,Lesion,27687.5,20672.5,137,345
21,21,Lesion,52754.0,19951.5,161,150
22,22,Lesion,12616.0,16704.0,140,244
23,23,Lesion,32977.0,18086.0,156,174
24,24,Lesion,60580.5,13095.5,405,307
25,25,Lesion,63833.0,12295.0,450,538
26,26,Lesion,24575.5,8407.5,99,123
27,27,Lesion,25884.5,7563.5,83,113
28,28,Lesion,30212.5,7586.0,90,109
29,29,Lesion,29507.5,8107.0,92,121
30,30,Lesion,33610.0,7384.0,78,106
31,31,Lesion,41283.0,7201.5,203,172
32,32,Lesion,40553.0,2457.5,235,334
33,33,Lesion,52847.0,2777.5,163,210
