,index,type,boundary_center_x,boundary_center_y,height,width
0,0,Lesion,11765.0,41963.0,198,308
1,1,Lesion,10990.5,44048.0,190,139
2,2,Lesion,16280.5,43439.5,631,403
3,3,Lesion,28066.0,44382.5,331,190
4,4,Lesion,55240.5,71387.5,293,619
5,5,Lesion,22514.0,66147.0,490,508
6,6,Lesion,24287.5,69187.0,332,421
7,7,Lesion,51151.0,82680.0,142,206
8,8,Lesion,53467.0,81601.5,211,254
9,9,Lesion,66665.5,74786.5,225,191
10,10,Lesion,73228.5,59963.5,221,485
11,11,Lesion,80765.5,53133.5,203,255
12,12,Lesion,78557.0,46873.0,414,412
13,13,Lesion,81716.0,44054.0,222,152
14,14,Lesion,81525.0,39807.5,187,340
15,15,Lesion,77733.0,38823.0,394,356
16,16,Lesion,27374.5,11283.0,248,277
17,17,Lesion,17113.5,15875.0,412,285
18,18,Lesion,16824.0,15781.0,126,170
19,19,Lesion,13444.0,36934.0,192,208
