,Unnamed: 0,type,boundary_center_x,boundary_center_y,height,width
0,0,NILM,49078.0,46729.0,280,264
1,1,NILM,52322.5,48700.0,294,285
2,2,NILM,53026.5,49292.0,340,357
3,3,NILM,52228.0,42046.0,236,282
4,4,NILM,52363.0,41684.0,238,244
5,5,NILM,51527.5,43496.0,338,475
6,6,NILM,52224.5,45409.0,274,279
7,7,NILM,53494.5,45099.5,315,351
8,8,NILM,53591.0,45966.0,252,218
9,9,NILM,53866.5,46093.5,255,259
10,10,NILM,53882.5,46370.0,240,291
11,11,NILM,54494.5,46274.5,303,373
12,12,NILM,54563.5,45682.5,293,371
13,13,NILM,53425.0,47757.5,243,312
14,14,NILM,54215.0,47700.5,237,260
15,15,NILM,55277.0,47879.0,246,220
16,16,NILM,54696.5,47169.0,302,305
17,17,NILM,53513.5,47152.0,70,81
18,18,NILM,52590.5,48282.0,90,113
19,19,NILM,53331.5,48170.0,122,221
20,20,NILM,52717.5,48463.0,156,267
21,21,NILM,52840.5,46903.5,209,481
22,22,NILM,53011.5,46493.5,225,391
23,23,NILM,53524.5,46625.0,420,461
24,24,NILM,51016.5,47218.0,398,459
25,25,NILM,50843.5,47739.0,644,377
26,26,NILM,52154.5,47963.5,541,353
27,27,NILM,52202.5,47408.5,285,315
28,28,NILM,51704.5,49430.5,355,413
29,29,NILM,51890.0,50003.5,467,424
30,30,NILM,51180.5,51169.5,305,357
31,31,NILM,52766.0,51099.5,279,420
32,32,NILM,50850.0,50404.5,307,182
33,33,NILM,50377.5,52167.5,429,575
34,34,NILM,53160.5,53411.0,248,265
35,35,NILM,52756.0,52912.5,369,346
36,36,NILM,51731.5,52922.5,223,369
37,37,NILM,52920.0,54647.5,227,280
38,38,NILM,52783.0,55591.0,244,348
39,39,NILM,53628.5,56056.0,322,283
40,40,NILM,52167.5,56822.0,240,277
41,41,NILM,53047.0,56592.5,317,414
42,42,NILM,55106.5,57448.0,346,283
43,43,NILM,54569.5,57221.5,281,373
44,44,NILM,53316.5,55588.5,321,423
45,45,NILM,56551.0,57365.5,353,294
46,46,NILM,58374.5,58870.5,267,301
47,47,NILM,57545.0,57811.0,242,314
48,48,NILM,56960.0,57668.5,289,244
49,49,NILM,57865.5,57903.5,301,317
50,50,NILM,60491.0,59004.0,252,326
51,51,NILM,56613.5,61091.5,281,355
52,52,NILM,55541.0,61602.0,258,244
53,53,NILM,58193.0,62518.5,299,328
54,54,NILM,58647.5,62327.5,231,295
55,55,NILM,58932.5,62544.0,274,191
56,56,NILM,58905.0,61928.5,179,342
57,57,NILM,59269.5,63761.5,221,281
58,58,NILM,58850.0,63925.5,233,290
59,59,NILM,56915.0,64624.0,278,220
60,60,NILM,56546.5,63788.5,305,377
61,61,NILM,57382.0,64518.5,251,270
62,62,NILM,57979.5,63096.5,243,301
63,63,NILM,58796.0,64807.0,326,276
64,64,NILM,59731.5,63910.5,281,319
65,65,NILM,60208.5,63980.5,147,335
66,66,NILM,60880.5,64779.0,278,393
67,67,NILM,61680.0,65086.5,265,232
68,68,NILM,59669.5,65844.0,238,303
69,69,NILM,59576.5,67309.5,241,305
70,70,NILM,58054.5,66532.5,339,321
71,71,NILM,61626.5,66541.5,353,267
72,72,NILM,62208.0,66294.0,312,236
73,73,NILM,61733.0,65718.0,284,224
74,74,NILM,60310.0,65715.0,182,276
75,75,NILM,60672.5,65570.0,234,247
76,76,NILM,62648.5,67994.5,479,357
77,77,NILM,59392.5,68235.0,332,323
78,78,NILM,61669.0,69372.0,238,218
79,79,NILM,59522.0,70912.0,274,348
80,80,NILM,60430.5,72303.0,292,323
81,81,NILM,56643.0,70810.0,254,296
82,82,NILM,55907.5,71791.0,216,227
83,83,NILM,57187.0,74682.0,238,234
84,84,NILM,57216.0,75055.0,310,288
85,85,NILM,58136.5,75727.5,245,225
86,86,NILM,59699.5,76222.0,344,391
87,87,NILM,58180.5,76654.5,243,321
88,88,NILM,60157.0,77769.5,479,258
89,89,NILM,58167.0,77672.0,332,330
90,90,NILM,60651.0,78214.5,371,340
91,91,NILM,61126.0,78105.0,404,378
92,92,NILM,59133.0,78589.5,289,254
93,93,NILM,58217.0,78478.5,199,264
94,94,NILM,58744.5,78591.5,93,145
95,95,NILM,57322.5,78845.5,143,107
96,96,NILM,57078.5,79230.0,122,173
97,97,NILM,58058.0,79000.5,103,112
98,98,NILM,56418.5,77887.0,118,103
99,99,NILM,59454.5,78648.5,91,99
100,100,NILM,62081.0,77907.0,328,184
101,101,NILM,61972.5,77496.0,124,217
