,index,type,boundary_center_x,boundary_center_y,height,width
0,0,HSIL,42839.0,40076.0,252,294
1,1,LSIL,54332.0,42200.5,199,184
2,2,LSIL,56944.0,43317.5,211,346
3,3,ASC-H,59645.0,41509.5,465,774
4,4,LSIL,60928.0,42135.5,269,154
5,5,LSIL,65264.5,42067.5,209,163
6,6,ASC-H,65708.0,39759.5,201,136
7,7,ASC-H,71772.5,40619.0,372,183
8,8,LSIL,75173.0,40094.0,206,196
9,9,ASC-H,75318.5,39371.5,193,317
10,10,ASC-H,79436.5,40397.0,264,301
11,11,LSIL,78851.0,42908.5,211,176
12,12,LSIL,71960.5,41855.0,146,123
13,13,LSIL,70602.0,41816.5,113,146
14,14,LSIL,67508.0,42238.5,203,188
15,15,LSIL,64808.0,41117.5,163,116
16,16,LSIL,64141.0,43145.5,193,228
17,17,LSIL,65183.5,44896.5,239,199
18,18,LSIL,58923.5,43276.0,184,181
19,19,LSIL,48575.0,43747.5,251,294
20,20,LSIL,45299.0,43910.5,211,248
21,21,LSIL,43321.5,42686.5,423,369
22,22,ASC-H,38139.0,41187.5,193,126
23,23,ASC-H,26395.5,43063.5,271,377
24,24,LSIL,25086.0,44358.5,601,558
25,25,LSIL,25405.5,45632.5,259,261
26,26,LSIL,20997.0,49221.5,613,324
27,27,ASC-H,19185.0,46729.0,382,254
28,28,ASC-H,13716.5,44798.5,419,493
29,29,ASC-H,13573.0,44099.5,289,312
30,30,ASC-H,11567.0,44642.5,419,400
31,31,LSIL,7241.5,44041.0,306,301
32,32,ASC-H,5511.5,45627.0,170,299
33,33,ASC-H,7351.5,48678.0,186,519
34,34,ASC-H,7515.0,51896.0,192,226
35,35,LSIL,6566.0,52843.0,192,166
36,36,ASC-H,6472.0,53615.0,192,196
37,37,ASC-H,12075.0,54233.0,352,482
38,38,LSIL,13121.5,54626.0,154,135
39,39,ASC-H,12855.5,55130.0,194,233
40,40,ASC-H,13319.5,55947.5,115,149
41,41,ASC-H,14526.5,55516.0,264,183
42,42,ASC-H,18653.5,56546.5,253,165
43,43,ASC-H,17828.0,56122.0,272,252
44,44,LSIL,14333.5,59072.5,615,423
45,45,LSIL,14911.5,62127.0,210,127
46,46,ASC-H,10764.0,62280.0,234,256
47,47,ASC-H,12715.0,65490.0,182,150
48,48,ASC-H,15108.5,65116.0,326,211
49,49,ASC-H,14923.0,64687.0,148,194
50,50,ASC-H,16570.0,64832.0,234,322
51,51,ASC-H,16219.0,64923.5,271,344
52,52,ASC-H,17275.0,67185.0,134,284
53,53,ASC-H,21443.5,67394.5,215,287
54,54,LSIL,22683.5,74001.0,228,273
55,55,ASC-H,27100.0,75949.0,188,210
56,56,ASC-H,26653.5,75739.0,132,177
57,57,ASC-H,28742.0,76037.0,278,232
58,58,ASC-H,43270.0,78725.0,330,292
59,59,LSIL,46720.0,77532.5,161,188
60,60,LSIL,46007.5,77380.5,211,215
61,61,ASC-H,46856.0,80238.5,207,208
62,62,ASC-H,47346.0,78749.0,290,372
63,63,ASC-H,64491.5,65390.5,263,205
64,64,ASC-H,65052.5,65386.5,159,167
65,65,ASC-H,64674.5,64412.5,217,211
66,66,ASC-H,71158.5,61125.0,264,123
67,67,ASC-H,70846.5,61077.5,259,149
68,68,LSIL,74151.5,63968.5,157,245
69,69,LSIL,74362.0,64458.0,192,138
70,70,LSIL,76528.0,59433.0,448,566
71,71,ASC-H,80197.0,49944.5,281,296
72,72,ASC-H,81668.5,49137.5,213,259
73,73,LSIL,83048.0,48091.0,248,296
74,74,ASC-H,81959.0,37479.5,223,400
75,75,ASC-H,81833.5,37741.0,242,265
76,76,ASC-H,81814.0,37444.0,4,2
77,77,ASC-H,82609.0,37656.0,288,562
78,78,ASC-H,81055.5,37043.5,379,297
79,79,ASC-H,82965.5,37007.5,185,151
