,Unnamed: 0,type,boundary_center_x,boundary_center_y,height,width
0,0,HSIL,40191.5,50358.5,139,159
1,1,HSIL,40603.0,49785.5,73,136
2,2,ASCUS,40370.5,50324.0,134,109
3,3,HSIL,43626.5,50898.5,365,303
4,4,HSIL,43891.0,51298.0,70,120
5,5,HSIL,43978.5,50682.5,91,79
6,6,ASC-H,43420.0,50593.0,108,68
7,7,HSIL,45598.5,51591.0,150,149
8,8,HSIL,46162.5,51854.5,143,99
9,9,HSIL,45443.0,52333.5,147,112
10,10,ASC-H,45990.5,52445.0,110,83
11,11,ASC-H,50334.5,53751.5,375,239
12,12,ASC-H,57939.5,57591.5,91,85
13,13,ASC-H,57799.0,58156.5,79,68
14,14,ASC-H,59599.5,58921.5,93,79
15,15,ASC-H,59158.0,58526.5,85,88
16,16,ASC-H,59358.0,59964.5,123,116
17,17,ASC-H,59761.5,60345.0,302,103
18,18,HSIL,61932.5,66709.5,67,149
19,19,HSIL,61560.0,66308.5,89,78
20,20,ASC-H,61021.5,66741.5,89,95
21,21,ASC-H,61112.5,68060.0,92,77
22,22,ASC-H,60743.5,67810.5,111,95
23,23,ASC-H,61471.5,68025.0,100,83
24,24,ASC-H,63143.5,68051.5,151,179
25,25,HSIL,65741.0,70121.0,152,340
26,26,ASC-H,66369.0,70888.0,98,248
27,27,ASC-H,66834.5,71489.5,73,125
28,28,HSIL,68713.5,70648.5,149,345
29,29,HSIL,68403.5,70568.0,132,119
30,30,HSIL,70416.0,66863.5,255,296
31,31,HSIL,71881.5,65232.0,114,159
32,32,HSIL,73049.5,62310.5,273,209
33,33,HSIL,78263.0,58865.5,153,78
34,34,ASC-H,80510.5,52888.5,139,183
35,35,ASC-H,80698.5,48424.5,125,291
36,36,ASC-H,83565.5,41456.5,325,117
37,37,HSIL,82894.0,39571.5,165,150
38,38,HSIL,75150.0,29445.0,184,148
39,39,ASC-H,75068.5,29075.5,71,101
40,40,ASC-H,74382.5,28676.5,197,197
41,41,HSIL,77307.5,25618.0,318,179
42,42,ASC-H,76766.5,25787.0,182,241
43,43,ASC-H,76624.5,25226.0,112,105
44,44,ASC-H,78635.0,23093.0,118,128
45,45,ASC-H,79081.0,22146.0,116,76
46,46,ASC-H,77911.0,20296.5,383,310
47,47,ASC-H,72077.5,16923.5,211,179
48,48,ASC-H,66729.5,7914.5,309,159
49,49,ASC-H,64585.5,5149.0,168,115
50,50,ASC-H,58474.5,2356.0,236,163
51,51,ASC-H,58405.0,2999.0,156,86
52,52,ASC-H,55258.5,496.0,200,203
53,53,ASC-H,54487.5,1649.0,128,185
54,54,ASC-H,52482.5,3405.0,354,185
55,55,ASC-H,51829.5,3674.0,212,209
56,56,ASC-H,39867.5,5485.5,169,297
57,57,ASC-H,40977.5,5004.5,243,263
58,58,HSIL,39815.0,10072.5,201,314
59,59,ASC-H,43961.5,23769.5,117,105
60,60,ASC-H,44110.5,24179.5,203,229
61,61,ASC-H,43917.0,24633.5,93,96
62,62,ASC-H,44421.5,25355.5,99,79
63,63,ASC-H,45551.5,27140.0,160,177
64,64,ASC-H,44784.0,28671.5,109,88
65,65,ASC-H,46431.0,40698.5,247,192
66,66,ASC-H,48657.0,40699.5,141,218
67,67,ASC-H,48825.0,44334.5,135,136
68,68,ASC-H,48610.0,46355.0,114,206
69,69,ASC-H,48174.0,47422.0,158,108
70,70,ASC-H,47270.0,50004.5,191,268
71,71,ASC-H,48294.0,50069.0,182,186
72,72,ASC-H,49817.5,50577.5,261,255
73,73,ASC-H,53886.0,50868.0,190,108
74,74,HSIL,31107.0,35278.0,356,218
75,75,ASC-H,21665.0,37437.5,237,214
76,76,ASC-H,23160.5,37938.5,137,115
77,77,ASC-H,15044.5,44004.5,167,119
78,78,ASC-H,17401.0,42864.5,775,662
79,79,ASC-H,19119.0,43458.0,340,388
80,80,ASC-H,27930.5,45025.5,235,197
81,81,ASC-H,26284.5,40352.0,230,297
82,82,ASC-H,25372.5,36413.0,346,333
83,83,ASC-H,25690.0,34357.5,133,216
84,84,ASC-H,46023.0,32446.0,228,194
85,85,ASC-H,45108.0,32742.5,125,210
86,86,ASC-H,48492.0,29580.5,313,398
87,87,ASC-H,49304.0,28093.5,133,76
88,88,ASC-H,50190.0,27860.5,231,202
89,89,ASC-H,49705.5,26186.0,218,105
90,90,ASC-H,50323.5,27140.0,156,177
91,91,ASC-H,49236.0,25743.0,192,170
92,92,ASC-H,49716.0,25508.5,103,334
93,93,ASC-H,48392.5,25724.5,121,115
94,94,ASC-H,48409.0,19116.0,202,214
95,95,ASC-H,47606.5,18904.5,73,89
96,96,ASC-H,48445.0,20607.5,217,202
